,monitor,curved,size,contrast,contrast_LD,backlight,sdr_brightness,hdr_brightness,rec_mode,rec_rgb,rec_contrast,rec_gamma,srgb,adobergb,dcip3_volume,rec2020_volume,coating,pixel,subpixel,refreshrate,hdmi_rr10,dp_rr10,gsync,rec_overdrive,trt_max,overshoot_max,smear_max,trt_120,overshoot_120,smear_120,pwm,inputlag_max,inputlag_120,res,aspect,ppi,ps5_vrr,xbox_vrr,hdmi2.1,powerdelivery,kvm,multi_input
192,Dell U2718Q,No,"27""","1,317 : 1",,Direct,335 cd/m²,329 cd/m²,Custom Color,91-98-100,75.0,No Gamma Setting,97.3%,75.8%,62.1%,42.2%,Matte,IPS,RGB,60 Hz,,,No,Normal,14.2 ms,0.2%,15.1 ms,,,,650 Hz,8.9 ms,,3840 x 2160,16:9,164 PPI,,,,,,No
193,Samsung C49RG9/CRG9,Yes,"49""","2,262 : 1","2,359 : 1",Edge,590 cd/m²,649 cd/m²,RTS,35-42-49,75.0,Mode 3,98.0%,82.8%,77.4%,60.8%,Matte,VA,RGB,120 Hz,,,No,Fastest,14.2 ms,3.0%,20.3 ms,,,,0 Hz,4.9 ms,,5120x1440,32:9,109 PPI,,,,,,PBP
194,LG 38GL950G-B,Yes,"38""",917 : 1,,Edge,466 cd/m²,482 cd/m²,Gamer 1,49-48-56,68.0,Mode 2,99.4%,86.1%,81.8%,65.1%,Matte,IPS,RGB,175 Hz,,,Yes (Native),Normal,8.5 ms,0.0%,9.4 ms,,,,0 Hz,3.7 ms,,3840 x 1600,21:9,111 PPI,,,,,,PIP + PBP
195,ASUS VG248QE,No,"24""",686 : 1,,Direct,360 cd/m²,,Standard,94-89-100,78.0,No Gamma Setting,98.9%,70.7%,,,Matte,TN,RGB,144 Hz,,,No,60,6.9 ms,3.3%,6.5 ms,,,,833 Hz,5.1 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
196,HP OMEN 27i,No,"27""",755 : 1,,Edge,334 cd/m²,,Standard (calibrated),240-250-253,80.0,No Gamma Setting,99.5%,84.6%,,,Matte,IPS,RGB,165 Hz,,,Compatible (NVIDIA Certified),Level 1,9.0 ms,0.0%,9.8 ms,,,,0 Hz,3.0 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
197,MSI Optix MAG273R,No,"27""","1,354 : 1",,Edge,314 cd/m²,362 cd/m²,User,89-100-100,65.0,No Gamma Setting,100.0%,81.0%,83.8%,64.0%,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Fastest,12.5 ms,7.9%,14.8 ms,,,,0 Hz,3.4 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
198,Gigabyte AORUS AD27QD,No,"27""","1,063 : 1",,Edge,397 cd/m²,432 cd/m²,Standard,92-93-100,49.0,Off,98.9%,84.2%,71.6%,61.2%,Matte,IPS,RGB,144 Hz,,,Compatible (NVIDIA Certified),Balance,13.0 ms,0.0%,16.1 ms,,,,0 Hz,4.1 ms,,2560 x 1440,16:9,109 PPI,,,,,,PIP + PBP
199,Dell S2419HGF,No,"24""",928 : 1,,Direct,304 cd/m²,,Custom Color,93-95-100,70.0,No Gamma Setting,95.1%,74.1%,,,Matte,TN,RGB,144 Hz,,,Compatible (NVIDIA Certified),Normal,11.6 ms,13.8%,6.0 ms,,,,0 Hz,5.1 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
200,Acer Predator X27 bmiphzx,No,"27""",815 : 1,"1,339 : 1",Full-Array,324 cd/m²,"1,312 cd/m²",User,39-37-50,50.0,Default,95.5%,98.1%,73.3%,80.3%,Matte,IPS,RGB,144 Hz,,,Yes (Native),Off,12.2 ms,0.0%,12.7 ms,,,,0 Hz,10.9 ms,,3840 x 2160,16:9,164 PPI,,,,,,No
201,HP OMEN X 27,No,"27""",798 : 1,831 : 1,Edge,306 cd/m²,312 cd/m²,Gaming,216-234-243,75.0,2.2,100.0%,79.9%,63.9%,62.1%,Matte,TN,RGB,240 Hz,,,Compatible (Tested),Level 3,5.5 ms,1.4%,4.2 ms,,,,>1000 Hz,2.8 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
202,Dell U3219Q,No,"32""","1,413 : 1",,Edge,386 cd/m²,427 cd/m²,Custom Color,96-99-100,75.0,No Gamma Setting,99.7%,82.8%,69.1%,68.6%,Matte,IPS,RGB,60 Hz,,,No,Normal,15.0 ms,0.5%,16.1 ms,,,,200 Hz,8.8 ms,,3840 x 2160,16:9,140 PPI,,,,,,PIP + PBP
203,Samsung CHG70,Yes,"27""","2,925 : 1","2,922 : 1",Edge,309 cd/m²,355 cd/m²,Custom,43-50-51,75.0,No Gamma Setting,94.9%,80.9%,84.4%,68.7%,Matte,VA,RGB,144 Hz,,,Compatible (Tested),Standard,11.2 ms,5.5%,14.8 ms,,,,0 Hz,4.4 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
204,ASUS VG245H,No,"24""","1,277 : 1",,Direct,301 cd/m²,,Racing Mode,(User) 97-100-98,79.0,No Gamma Setting,93.7%,70.4%,,,Matte,TN,RGB,75 Hz,,,No,80,12.4 ms,2.2%,7.8 ms,,,,0 Hz,6.7 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
205,ASUS ROG Swift PG279QZ,No,"27""","1,195 : 1",,Edge,319 cd/m²,,FPS,92-94-100,50.0,No Gamma Setting,94.9%,74.8%,,,Matte,IPS,RGB,165 Hz,,,Yes (Native),Normal,8.7 ms,2.6%,10.7 ms,,,,0 Hz,4.4 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
206,Dell S2417DG,No,"24""",620 : 1,,Direct,465 cd/m²,,Custom Color,87-92-100,75.0,No Gamma Setting,92.9%,72.7%,,,Matte,TN,RGB,165 Hz,,,Yes (Native),Normal,8.8 ms,7.8%,3.2 ms,,,,0 Hz,4.2 ms,,2560 x 1440,16:9,124 PPI,,,,,,No
207,BenQ ZOWIE XL2540,No,"25""","1,037 : 1",,Edge,459 cd/m²,,Standard,97-100-92,55.0,Gamma 2,92.7%,73.5%,,,Matte,TN,RGB,240 Hz,,,Compatible (NVIDIA Certified),High,8.3 ms,5.3%,7.0 ms,,,,0 Hz,3.7 ms,,1920 x 1080,16:9,88 PPI,,,,,,No
208,ViewSonic Elite XG270QG,No,"27""",883 : 1,,Edge,322 cd/m²,,Custom 1,92-91-100,70.0,2.2,99.5%,85.1%,,,Matte,IPS,RGB,165 Hz,,,Yes (Native),Standard,7.7 ms,7.4%,8.1 ms,,,,0 Hz,3.9 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
209,Dell U3818DW,Yes,"38""","1,133 : 1",,Edge,302 cd/m²,,Custom Color,100-99-98,75.0,Default,99.0%,77.6%,,,Matte,IPS,RGB,60 Hz,,,No,Normal,26.0 ms,17.6%,25.3 ms,,,,0 Hz,9.2 ms,,3840 x 1600,21:9,111 PPI,,,,,,PIP + PBP
210,LG 34GN850-B,Yes,"34""",960 : 1,,Edge,359 cd/m²,441 cd/m²,Gamer 1,46-47-50,70.0,Mode 2,99.0%,86.6%,78.4%,62.2%,Matte,IPS,RGB,160 Hz,,,Compatible (NVIDIA Certified),Normal,5.8 ms,0.9%,5.8 ms,,,,0 Hz,4.2 ms,,3440 x 1440,21:9,108 PPI,,,,,,No
211,LG 27GN750-B,No,"27""","1,032 : 1",,Edge,378 cd/m²,370 cd/m²,Gamer 1,46-50-52,70.0,Mode 2,97.2%,75.7%,70.0%,52.1%,Matte,IPS,RGB,240 Hz,,,Compatible (NVIDIA Certified),Fast,7.8 ms,0.9%,8.4 ms,,,,0 Hz,2.8 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
212,LG 34GK950F-B,Yes,"34""",810 : 1,,Edge,333 cd/m²,412 cd/m²,Gamer 2,51-50-51,60.0,Mode 2,99.2%,86.8%,67.1%,61.6%,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Fast,9.7 ms,5.7%,10.5 ms,,,,0 Hz,4.2 ms,,3440 x 1440,21:9,109 PPI,,,,,,No
213,Dell U2518D,No,"25""","1,187 : 1",,Direct,425 cd/m²,498 cd/m²,Custom Color,99-98-100,75.0,No Gamma Setting,98.1%,76.1%,66.6%,49.6%,Matte,IPS,RGB,60 Hz,,,No,Normal,15.5 ms,1.7%,16.7 ms,,,,940 Hz,15.8 ms,,2560 x 1440,16:9,118 PPI,,,,,,No
214,ViewSonic XG2402,No,"24""",947 : 1,,Direct,354 cd/m²,,Custom 1,98-98-100,60.0,2.4,98.0%,75.2%,,,Matte,TN,RGB,144 Hz,,,Compatible (Tested),Fast,6.9 ms,1.1%,4.5 ms,,,,0 Hz,4.1 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
215,ASUS TUF VG27VQ,Yes,"27""","3,925 : 1",,Edge,346 cd/m²,,Racing Mode,100-93-86,79.0,No Gamma Setting,91.7%,74.8%,,,Matte,VA,RGB,165 Hz,,,Compatible (Tested),80,16.6 ms,3.2%,26.6 ms,,,,0 Hz,4.0 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
216,Dell Alienware AW3420DW,Yes,"34""",720 : 1,,Edge,247 cd/m²,,Custom Color,81-84-94,79.0,No Gamma Setting,99.4%,85.5%,,,Matte,IPS,RGB,120 Hz,,,Yes (Native),Fast,11.4 ms,11.0%,11.0 ms,,,,0 Hz,5.2 ms,,3440 x 1440,21:9,109 PPI,,,,,,No
217,LG 32GK650F-B,No,"32""","3,050 : 1",,Edge,296 cd/m²,,Gamer 1,46-51-49,69.0,Mode 2,93.5%,74.9%,,,Matte,VA,RGB,144 Hz,,,Compatible (Tested),Faster,13.6 ms,8.7%,19.9 ms,,,,0 Hz,4.9 ms,,2560 x 1440,16:9,93 PPI,,,,,,No
218,Acer Nitro XV273 Xbmiiprzx,No,"27""","1,155 : 1",,Edge,433 cd/m²,443 cd/m²,User,41-38-50,50.0,2.2,98.7%,76.0%,64.2%,52.2%,Matte,IPS,RGB,240 Hz,,,Compatible (NVIDIA Certified),Normal,8.4 ms,0.2%,9.4 ms,,,,0 Hz,2.7 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
219,Dell S2719DGF,No,"27""",890 : 1,,Edge,378 cd/m²,,Custom Color,97-100-99,74.0,No Gamma Setting,94.7%,74.3%,,,Matte,TN,RGB,155 Hz,,,Compatible (Tested),Normal,8.2 ms,0.7%,6.6 ms,,,,0 Hz,4.3 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
220,Acer Predator XB271HU Bmiprz,No,"27""","1,055 : 1",,Edge,313 cd/m²,,User,94-91-99,50.0,2.2,97.7%,76.3%,,,Matte,IPS,RGB,165 Hz,,,Yes (Native),Off,17.4 ms,0.0%,19.3 ms,,,,0 Hz,4.6 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
221,ASUS ROG Swift PG279Q,No,"27""","1,334 : 1",,Direct,390 cd/m²,,Racing Mode,(User) 100-100-100,50.0,No Gamma Setting,97.5%,76.7%,,,Matte,IPS,RGB,165 Hz,,,Yes (Native),Normal,8.2 ms,3.1%,9.0 ms,,,,0 Hz,4.4 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
222,LG 32UD99-W,No,"32""","1,613 : 1",,Edge,363 cd/m²,312 cd/m²,Custom,51-53-47,70.0,Mode 2,99.5%,83.5%,72.3%,60.8%,Matte,IPS,RGB,60 Hz,,,Partially Compatible,Normal,17.2 ms,3.4%,15.8 ms,,,,0 Hz,8.9 ms,,3840 x 2160,16:9,138 PPI,,,,,,PBP
223,LG 32GK850G-B,No,"32""","2,622 : 1",,Edge,357 cd/m²,,Gamer 1,46-43-50,70.0,Mode 2,96.4%,76.6%,,,Matte,VA,RGB,165 Hz,,,Yes (Native),Fast,9.2 ms,4.0%,12.1 ms,,,,0 Hz,4.7 ms,,2560 x 1440,16:9,94 PPI,,,,,,No
224,Acer Nitro XF252Q Xbmiiprzx,No,"25""",858 : 1,,Edge,363 cd/m²,398 cd/m²,User,49-51-49,38.0,2.2 (Default),93.1%,73.6%,70.5%,51.4%,Matte,TN,RGB,240 Hz,,,Compatible (Tested),Normal,6.2 ms,6.4%,5.5 ms,,,,0 Hz,3.0 ms,,1920 x 1080,16:9,91 PPI,,,,,,No
